GO,Interpro,n,n_go,n_ip,s
GO:0000244,IPR019581,7,36,7,0.32558139534883723
GO:0000244,IPR019582,7,36,7,0.32558139534883723
GO:0000244,IPR021983,7,36,7,0.32558139534883723
GO:0000245,IPR000690,36,170,52,0.32432432432432434
GO:0000245,IPR003604,36,170,117,0.2508710801393728
GO:0000245,IPR013085,29,170,40,0.2761904761904762
GO:0000247,IPR033118,6,7,22,0.41379310344827586
GO:0000248,IPR006694,10,11,65,0.2631578947368421
GO:0000250,IPR032696,9,9,50,0.3050847457627119
GO:0000250,IPR032697,9,9,47,0.32142857142857145
GO:0000254,IPR006694,26,26,65,0.5714285714285714
GO:0000255,IPR015908,11,22,12,0.6470588235294118
GO:0000256,IPR015908,11,21,12,0.6666666666666666
GO:0000257,IPR003010,10,10,78,0.22727272727272727
GO:0000266,IPR000375,40,93,51,0.5555555555555556
GO:0000266,IPR001401,46,93,62,0.5935483870967742
GO:0000266,IPR003130,39,93,50,0.5454545454545454
GO:0000266,IPR020850,41,93,52,0.5655172413793104
GO:0000266,IPR030381,46,93,81,0.5287356321839081
GO:0000266,IPR033745,17,93,19,0.30357142857142855
GO:0000266,IPR045063,46,93,85,0.5168539325842697
GO:0000270,IPR011095,35,221,36,0.2723735408560311
GO:0000270,IPR011127,35,221,36,0.2723735408560311
GO:0000272,IPR002022,30,236,38,0.21897810218978103
GO:0000275,IPR020546,12,26,50,0.3157894736842105
GO:0000276,IPR002379,26,27,86,0.46017699115044247
GO:0000285,IPR002498,9,9,39,0.375
GO:0000285,IPR044769,9,9,10,0.9473684210526315
GO:0000286,IPR007698,11,11,29,0.55
GO:0000286,IPR007886,11,11,29,0.55
GO:0000289,IPR028881,16,97,18,0.2782608695652174
GO:0000289,IPR041332,16,97,18,0.2782608695652174
GO:0000290,IPR007722,6,50,7,0.21052631578947367
GO:0000290,IPR019167,7,50,8,0.2413793103448276
GO:0000290,IPR034104,8,50,8,0.27586206896551724
GO:0000290,IPR041332,16,50,18,0.47058823529411764
GO:0000290,IPR044099,6,50,7,0.21052631578947367
GO:0000291,IPR001247,35,107,115,0.3153153153153153
GO:0000291,IPR015847,23,107,101,0.22115384615384615
GO:0000293,IPR006593,8,32,34,0.24242424242424243
GO:0000293,IPR013112,19,32,52,0.4523809523809524
GO:0000293,IPR013121,19,32,52,0.4523809523809524
GO:0000293,IPR013130,23,32,74,0.4339622641509434
GO:0000294,IPR040546,2,6,6,0.3333333333333333
GO:0000294,IPR040757,2,6,4,0.4
GO:0000298,IPR041805,5,18,20,0.2631578947368421
GO:0000301,IPR013167,2,7,9,0.25
GO:0000301,IPR024602,2,7,8,0.26666666666666666
GO:0000303,IPR001424,66,119,72,0.6910994764397905
GO:0000304,IPR021894,4,16,4,0.4
GO:0000304,IPR035750,3,16,9,0.24
GO:0000305,IPR001424,66,124,72,0.673469387755102
GO:0000306,IPR021841,9,34,9,0.4186046511627907
GO:0000307,IPR004367,145,264,159,0.6855791962174941
GO:0000307,IPR006671,191,264,249,0.7446393762183235
GO:0000307,IPR013763,190,264,288,0.6884057971014492
GO:0000309,IPR004821,38,38,114,0.5
